ISO2,Name,Losses (M€),Loss per sq.km (€),Loss per capita (€),Insured losses (M€),Insured losses %,FATALITIES,Fatalities per 1 million inhabitants
AL,Albania,577.542,20060.0,194.0,0.0,0.0,146,49.16717208948021
AT,Austria,19757.403,235538.0,2417.0,3669.362,19.0,2426,296.7315069359134
BA,Bosnia and Herzegovina,5340.538,104287.0,1373.0,0.0,0.0,155,39.85762297068131
BE,Belgium,18404.185,600130.0,1742.0,7609.669,41.0,14827,1403.444073189622
BG,Bulgaria,6291.7,56684.0,801.0,99.305,2.0,3190,405.93393347326224
CH,Switzerland ,22749.09,550999.0,3056.0,7977.599,35.0,19408,2607.213007511553
CY,Cyprus,459.014,49607.0,635.0,8.015,2.0,253,349.88645055270086
CZ,Czechia,21710.812,275270.0,2086.0,2885.229,13.0,1382,132.8058512989604
DE,Germany,186907.708,522718.0,2304.0,57662.519,31.0,107508,1325.4557013228246
DK,Denmark,9346.9,217750.0,1724.0,5689.764,61.0,1036,191.1026014659407
EE,Estonia,352.089,7766.0,250.0,54.254,15.0,547,387.84920668647396
EL,Greece,18311.497,139046.0,1734.0,912.493,5.0,14096,1334.6177745965613
ES,Spain,119577.147,236326.0,2804.0,14414.991,12.0,113627,2664.3692991101784
FI,Finland,2422.442,7159.0,465.0,73.702,3.0,1873,359.31464175596955
FR,France,138103.577,216302.0,2218.0,48009.172,35.0,69059,1109.2991509812869
HR,Croatia,4742.324,83796.0,1083.0,109.579,2.0,2146,490.0392258208377
HU,Hungary,12812.844,137755.0,1261.0,616.799,5.0,8453,832.1297839037566
IE,Ireland,4833.013,69095.0,1169.0,812.668,17.0,295,71.37243164422962
IS,Iceland,27.445,267.0,93.0,0.0,0.0,3,10.171067562032018
IT,Italy,145226.483,480766.0,2503.0,6372.674,4.0,56855,979.9495588662528
LI,Liechtenstein,22.294,139338.0,674.0,10.74,48.0,1,30.223878341501635
LT,Lithuania,2968.275,45467.0,899.0,70.333,2.0,731,221.39833072321815
LU,Luxembourg,1409.316,543089.0,2980.0,684.579,49.0,218,461.02689629033176
LV,Latvia,1301.763,20153.0,570.0,89.722,7.0,251,109.81089416818797
ME,Montenegro,82.713,5958.0,135.0,0.0,0.0,14,22.912331129300426
MK,North Macedonia,825.53,32454.0,412.0,0.0,0.0,63,31.448897289066213
MT,Malta,82.566,261285.0,204.0,1.893,2.0,170,419.08142938431337
NL,Netherlands,13240.615,354112.0,828.0,6254.992,47.0,5450,340.88756106863303
NO,Norway,4461.514,11604.0,956.0,3078.842,69.0,77,16.495572823905118
PL,Poland,27884.767,89395.0,738.0,1611.269,6.0,6773,179.2119713316963
PT,Portugal,17653.203,191412.0,1721.0,616.597,3.0,20339,1982.7901643036002
RO,Romania,23964.115,100521.0,1121.0,334.319,1.0,6495,303.8889652656159
RS,Serbia,15192.877,178761.0,2050.0,0.0,0.0,271,36.558108769142144
SE,Sweden,3831.139,8563.0,419.0,990.37,26.0,927,101.27537980683077
SI,Slovenia,18480.041,911559.0,9176.0,642.286,3.0,861,427.51267443499097
SK,Slovakia,2549.273,51989.0,478.0,106.263,4.0,1281,240.14098969323365
TR,Türkiye,7977.924,10225.0,120.0,535.472,7.0,3222,48.46932437819814
XK,Kosovo*,23.598,2164.0,13.0,0.0,0.0,19,10.11517744399189
AL,Albania,2181.341,75765.0,735.0,61.286,3.0,225,75.77132685022636
AT,Austria,19833.573,236446.0,2426.0,3669.362,19.0,2533,309.81900538692025
BA,Bosnia and Herzegovina,5404.781,105542.0,1390.0,0.0,0.0,172,44.22910419972378
BE,Belgium,18551.011,604918.0,1756.0,7609.669,41.0,14832,1403.9173462971928
BG,Bulgaria,6386.06,57534.0,813.0,99.305,2.0,3196,406.69744557383893
CH,Switzerland ,24428.338,591671.0,3282.0,8370.628,34.0,19455,2613.5268477502714
CY,Cyprus,482.32,52126.0,667.0,8.015,2.0,257,355.4182521424669
CZ,Czechia,21751.94,275791.0,2090.0,2885.229,13.0,1408,135.30436948548208
DE,Germany,186955.492,522852.0,2305.0,57671.329,31.0,107517,1325.5666614496233
DK,Denmark,9346.9,217750.0,1724.0,5689.764,61.0,1036,191.10260146594067
EE,Estonia,352.089,7766.0,250.0,54.254,15.0,547,387.8492066864739
EL,Greece,29195.578,221693.0,2764.0,1160.466,4.0,14341,1357.8145222395917
ES,Spain,122302.108,241712.0,2868.0,15331.33,13.0,113639,2664.6506796939248
FI,Finland,2422.442,7159.0,465.0,73.702,3.0,1873,359.3146417559695
FR,France,138832.556,217444.0,2230.0,48472.622,35.0,69136,1110.5360069251255
HR,Croatia,6039.614,106718.0,1379.0,109.579,2.0,2155,492.0943763485114
HU,Hungary,12848.557,138139.0,1265.0,628.993,5.0,8453,832.1297839037566
IE,Ireland,4833.013,69095.0,1169.0,812.668,17.0,295,71.37243164422962
IS,Iceland,444.656,4331.0,1508.0,0.0,0.0,43,145.7853017224589
IT,Italy,254121.24,841258.0,4380.0,8649.919,3.0,60581,1044.1706837688234
LI,Liechtenstein,22.294,139338.0,674.0,10.74,48.0,1,30.223878341501635
LT,Lithuania,2968.275,45467.0,899.0,70.333,2.0,731,221.39833072321812
LU,Luxembourg,1409.316,543089.0,2980.0,684.579,49.0,218,461.02689629033176
LV,Latvia,1301.763,20153.0,570.0,89.722,7.0,251,109.81089416818797
ME,Montenegro,86.564,6236.0,142.0,0.0,0.0,14,22.912331129300426
MK,North Macedonia,936.719,36825.0,468.0,0.0,0.0,75,37.43916343936454
MT,Malta,82.566,261285.0,204.0,1.893,2.0,170,419.08142938431337
NL,Netherlands,13614.913,364123.0,852.0,6292.581,46.0,5451,340.9501092449759
NO,Norway,4837.9,12583.0,1036.0,3318.99,69.0,89,19.066311445812406
PL,Poland,27931.982,89546.0,739.0,1611.269,6.0,6798,179.87346539389804
PT,Portugal,17807.834,193089.0,1736.0,616.597,3.0,20437,1992.343900283823
RO,Romania,27248.5,114298.0,1275.0,334.319,1.0,6569,307.35128757965066
RS,Serbia,15445.027,181728.0,2084.0,0.0,0.0,275,37.09771185060549
SE,Sweden,3831.139,8563.0,419.0,990.37,26.0,927,101.27537980683077
SI,Slovenia,18550.531,915036.0,9211.0,643.631,3.0,863,428.5057352350722
SK,Slovakia,2567.264,52356.0,481.0,106.263,4.0,1281,240.14098969323362
TR,Türkiye,128287.446,164414.0,1930.0,8048.391,6.0,76610,1152.462737620658
XK,Kosovo*,24.455,2242.0,13.0,0.0,0.0,20,10.64755520420199
AL,Albania,314.387,10920.0,106.0,0.0,0.0,146,49.16717208948021
AT,Austria,13966.978,166507.0,1708.0,2594.076,19.0,2426,296.7315069359134
BA,Bosnia and Herzegovina,3693.211,72119.0,950.0,0.0,0.0,155,39.85762297068131
BE,Belgium,13308.414,433965.0,1260.0,5502.339,41.0,14827,1403.444073189622
BG,Bulgaria,3176.416,28617.0,404.0,50.143,2.0,3190,405.93393347326224
CH,Switzerland ,15157.56,367127.0,2036.0,5315.456,35.0,19408,2607.213007511553
CY,Cyprus,381.418,41221.0,527.0,6.662,2.0,253,349.88645055270086
CZ,Czechia,13789.856,174841.0,1325.0,1832.398,13.0,1382,132.8058512989604
DE,Germany,132816.178,371442.0,1637.0,40973.647,31.0,107508,1325.4557013228243
DK,Denmark,7412.137,172676.0,1367.0,4511.985,61.0,1036,191.10260146594067
EE,Estonia,185.12,4083.0,131.0,28.524,15.0,547,387.8492066864739
EL,Greece,16175.233,122824.0,1531.0,805.892,5.0,14096,1334.6177745965613
ES,Spain,96058.423,189845.0,2252.0,11578.666,12.0,113627,2664.369299110179
FI,Finland,1788.025,5284.0,343.0,54.404,3.0,1873,359.3146417559695
FR,France,111009.98,173867.0,1783.0,38590.499,35.0,69059,1109.2991509812866
HR,Croatia,3409.014,60236.0,778.0,78.777,2.0,2146,490.03922582083777
HU,Hungary,8660.357,93110.0,853.0,416.881,5.0,8453,832.1297839037566
IE,Ireland,3416.699,48847.0,827.0,574.51,17.0,295,71.37243164422962
IS,Iceland,13.929,136.0,47.0,0.0,0.0,3,10.171067562032018
IT,Italy,113870.512,376964.0,1963.0,4996.258,4.0,56855,979.9495588662529
LI,Liechtenstein,14.855,92844.0,449.0,7.157,48.0,1,30.223878341501635
LT,Lithuania,1713.054,26240.0,519.0,40.6,2.0,731,221.39833072321812
LU,Luxembourg,904.765,348657.0,1913.0,439.482,49.0,218,461.02689629033176
LV,Latvia,815.729,12629.0,357.0,56.198,7.0,251,109.81089416818797
ME,Montenegro,65.749,4736.0,108.0,0.0,0.0,14,22.912331129300426
MK,North Macedonia,511.965,20127.0,256.0,0.0,0.0,63,31.44889728906621
MT,Malta,56.315,178212.0,139.0,1.29,2.0,170,419.08142938431337
NL,Netherlands,9414.071,251774.0,589.0,4447.381,47.0,5450,340.88756106863303
NO,Norway,4052.952,10541.0,868.0,2796.89,69.0,77,16.495572823905114
PL,Poland,19023.095,60986.0,503.0,1099.031,6.0,6773,179.2119713316963
PT,Portugal,12855.611,139392.0,1253.0,448.945,3.0,20339,1982.7901643036002
RO,Romania,13349.658,55997.0,625.0,186.285,1.0,6495,303.888965265616
RS,Serbia,8252.971,97105.0,1113.0,0.0,0.0,271,36.558108769142144
SE,Sweden,3239.582,7241.0,354.0,837.466,26.0,927,101.27537980683077
SI,Slovenia,13155.323,648909.0,6532.0,457.219,3.0,861,427.51267443499097
SK,Slovakia,1824.601,37210.0,342.0,76.046,4.0,1281,240.14098969323362
TR,Türkiye,8064.595,10336.0,121.0,541.169,7.0,3222,48.46932437819814
XK,Kosovo*,18.736,1718.0,10.0,0.0,0.0,19,10.11517744399189
AL,Albania,1187.252,41237.0,400.0,33.355,3.0,225,75.77132685022636
AT,Austria,14020.844,167150.0,1715.0,2594.076,19.0,2533,309.81900538692025
BA,Bosnia and Herzegovina,3737.645,72987.0,961.0,0.0,0.0,172,44.22910419972378
BE,Belgium,13414.568,437427.0,1270.0,5502.339,41.0,14832,1403.9173462971928
BG,Bulgaria,3224.052,29047.0,410.0,50.143,2.0,3196,406.69744557383893
CH,Switzerland ,16276.451,394227.0,2187.0,5577.35,34.0,19455,2613.5268477502714
CY,Cyprus,400.783,43314.0,554.0,6.662,2.0,257,355.4182521424669
CZ,Czechia,13815.979,175172.0,1328.0,1832.398,13.0,1408,135.30436948548208
DE,Germany,132850.131,371537.0,1638.0,40979.908,31.0,107517,1325.5666614496233
DK,Denmark,7412.137,172676.0,1367.0,4511.985,61.0,1036,191.10260146594067
EE,Estonia,185.12,4083.0,131.0,28.524,15.0,547,387.8492066864739
EL,Greece,25790.062,195833.0,2442.0,1024.952,4.0,14341,1357.8145222395917
ES,Spain,98246.979,194171.0,2304.0,12314.667,13.0,113639,2664.6506796939248
FI,Finland,1788.025,5284.0,343.0,54.404,3.0,1873,359.3146417559695
FR,France,111596.037,174785.0,1793.0,38963.156,35.0,69136,1110.5360069251255
HR,Croatia,4341.358,76711.0,991.0,78.777,2.0,2155,492.0943763485114
HU,Hungary,8684.49,93370.0,855.0,425.121,5.0,8453,832.1297839037566
IE,Ireland,3416.699,48847.0,827.0,574.51,17.0,295,71.37243164422962
IS,Iceland,225.723,2198.0,765.0,0.0,0.0,43,145.7853017224589
IT,Italy,199258.695,659638.0,3434.0,6782.1,3.0,60581,1044.1706837688234
LI,Liechtenstein,14.855,92844.0,449.0,7.157,48.0,1,30.223878341501635
LT,Lithuania,1713.054,26240.0,519.0,40.6,2.0,731,221.39833072321812
LU,Luxembourg,904.765,348657.0,1913.0,439.482,49.0,218,461.02689629033176
LV,Latvia,815.729,12629.0,357.0,56.198,7.0,251,109.81089416818797
ME,Montenegro,68.809,4957.0,113.0,0.0,0.0,14,22.912331129300426
MK,North Macedonia,580.946,22839.0,290.0,0.0,0.0,75,37.43916343936454
MT,Malta,56.315,178212.0,139.0,1.29,2.0,170,419.08142938431337
NL,Netherlands,9680.187,258891.0,605.0,4474.106,46.0,5451,340.9501092449759
NO,Norway,4394.782,11430.0,941.0,3014.985,69.0,89,19.066311445812406
PL,Poland,19055.309,61089.0,504.0,1099.031,6.0,6798,179.87346539389804
PT,Portugal,12968.262,140614.0,1264.0,448.945,3.0,20437,1992.343900283823
RO,Romania,15178.962,63671.0,710.0,186.285,1.0,6569,307.35128757965066
RS,Serbia,8389.93,98717.0,1132.0,0.0,0.0,275,37.09771185060549
SE,Sweden,3239.582,7241.0,354.0,837.466,26.0,927,101.27537980683077
SI,Slovenia,13205.475,651382.0,6557.0,458.176,3.0,863,428.5057352350722
SK,Slovakia,1837.486,37473.0,344.0,76.046,4.0,1281,240.14098969323362
TR,Türkiye,129653.473,166165.0,1950.0,8133.31,6.0,76610,1152.462737620658
XK,Kosovo*,19.416,1780.0,10.0,0.0,0.0,20,10.64755520420199
